INFO  - 2019-12-09 08:56:35.644; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 08:56:35.706; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5383967b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2ac273d3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71423665, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20398b7c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fc6f14e]
INFO  - 2019-12-09 08:58:23.576; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 08:58:23.588; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4e1d422d, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@66480dd7, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@52a86356, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5ce81285, org.springframework.test.context.transaction.TransactionalTestExecutionListener@78c03f1f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5ec0a365]
INFO  - 2019-12-09 09:10:13.827; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:10:13.849; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5383967b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2ac273d3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71423665, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20398b7c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fc6f14e]
INFO  - 2019-12-09 09:11:00.484; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:11:00.498; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5383967b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2ac273d3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71423665, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20398b7c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fc6f14e]
INFO  - 2019-12-09 09:12:40.306; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:12:40.333; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5383967b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2ac273d3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71423665, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20398b7c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fc6f14e]
INFO  - 2019-12-09 09:13:59.727; org.springframework.test.context.support.AbstractTestContextBootstrapper; Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
INFO  - 2019-12-09 09:13:59.741; org.springframework.test.context.support.AbstractTestContextBootstrapper; Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4fe3c938, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5383967b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@2ac273d3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@71423665, org.springframework.test.context.transaction.TransactionalTestExecutionListener@20398b7c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fc6f14e]
